,model,best_score,precision,recall,f1_score,best_params
0,SVM,0.892612578,0.898929294,0.898252185,0.898208992,"{'C': 20, 'kernel': 'rbf'}"
1,DECISION_TREE,0.894475932,0.898046631,0.897003745,0.896936238,"{'criterion': 'gini', 'max_depth': 7}"
2,ADABOOST,0.895714286,0.900934711,0.900124844,0.900074383,"{'base_estimator__criterion': 'gini', 'base_estimator__splitter': 'best', 'n_estimators': 1}"
3,RANDOM_FOREST,0.893850932,0.900934711,0.900124844,0.900074383,{'n_estimators': 5}
4,LOGISTIC_REGRESSION,0.872651398,0.882086674,0.881398252,0.881344806,{'C': 1}
5,NAIVE_BAYES:BERNOULLINB,0.849522516,0.870494942,0.867665418,0.86741227,{'alpha': 0.01}
